,place names,coordinates
0,"Croydon, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957)"
1,"Greenwich, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417)"
2,"Bromley, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142)"
3,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097)"
4,"Wandsworth, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607)"
5,"Ealing, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952)"
6,"Ealing, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952)"
7,"Hounslow, Greater London, England, TW3 1DA, United Kingdom","(51.4686132, -0.3613471)"
8,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.5300157, 0.029309078788513746)"
9,"Sutton County, 76950, United States","(30.51216325, -100.53841807826248)"
10,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541771297992009)"
11,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7JW, United Kingdom","(51.4952111, -0.1163354)"
12,"London Borough of Richmond upon Thames, London, Greater London, England, United Kingdom","(51.4405529, -0.3076394377337949)"
13,"Wandsworth, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607)"
14,"London Borough of Hillingdon, London, Greater London, England, United Kingdom","(51.542519299999995, -0.44833493117949663)"
15,"Havering, Castlehaven Road, Maitland Park, Kentish Town, London Borough of Camden, London, Greater London, England, NW1 8RJ, United Kingdom","(51.54437325, -0.14431380000000021)"
16,"London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.5540907, 0.15048888801039415)"
17,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097)"
18,"Kingston upon Thames, Greater London, England, KT1 1JS, United Kingdom","(51.4096275, -0.3062621)"
19,"Sutton County, 76950, United States","(30.51216325, -100.53841807826248)"
20,"Westminster, Millbank, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398)"
21,"Hackney, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621)"
22,"Enfield, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175)"
23,"Hackney, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621)"
24,"London Borough of Harrow, London, Greater London, England, United Kingdom","(51.596827149999996, -0.3373046180437286)"
25,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541771297992009)"
26,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624292, -0.0101787)"
27,"Ealing, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952)"
28,"Hounslow, Greater London, England, TW3 1DA, United Kingdom","(51.4686132, -0.3613471)"
29,"Bromley, Greater London, England, BR1 1EY, United Kingdom","(51.4028046, 0.0148142)"
30,"London Borough of Hillingdon, London, Greater London, England, United Kingdom","(51.542519299999995, -0.44833493117949663)"
31,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184)"
32,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541771297992009)"
33,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7JW, United Kingdom","(51.4952111, -0.1163354)"
34,"Southwark, The Cut, Bankside, Elephant and Castle, London Borough of Southwark, London, Greater London, England, SE1 8JZ, United Kingdom","(51.503925, -0.1049663)"
35,"Havering, Castlehaven Road, Maitland Park, Kentish Town, London Borough of Camden, London, Greater London, England, NW1 8RJ, United Kingdom","(51.54437325, -0.14431380000000021)"
36,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.5300157, 0.029309078788513746)"
37,"Croydon, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957)"
38,"Croydon, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957)"
39,"Chipping Barnet, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261)"
40,"Epping Forest, London Borough of Waltham Forest, London, Essex, Greater London, England, United Kingdom","(51.6676884, 0.054801129257444646)"
41,"Westminster, Millbank, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398)"
42,"Ealing, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952)"
43,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911)"
